Timestamp,Online,Offline,Total,Percent Online
2023-11-09 11:34:31,225,2211,2436,9.24
2023-11-09 11:44:10,233,2203,2436,9.56
2023-11-09 11:53:43,229,2207,2436,9.4
2023-11-09 12:03:14,236,2200,2436,9.69
2023-11-09 12:12:43,248,2188,2436,10.18
2023-11-09 12:22:16,234,2202,2436,9.61
2023-11-09 12:31:50,230,2206,2436,9.44
2023-11-09 12:41:23,234,2202,2436,9.61
2023-11-09 12:50:57,230,2206,2436,9.44
2023-11-09 13:00:26,249,2187,2436,10.22
2023-11-09 13:09:56,251,2185,2436,10.3
2023-11-09 13:19:34,230,2206,2436,9.44
2023-11-09 13:29:07,230,2206,2436,9.44
2023-11-09 13:38:39,234,2202,2436,9.61
2023-11-09 13:48:13,228,2208,2436,9.36
2023-11-09 13:57:42,246,2190,2436,10.1
2023-11-09 14:07:12,251,2185,2436,10.3
2023-11-09 14:16:46,235,2201,2436,9.65
2023-11-09 14:26:18,237,2199,2436,9.73
2023-11-09 14:35:50,234,2202,2436,9.61
2023-11-09 14:45:24,228,2208,2436,9.36
2023-11-09 14:47:23,228,2208,2436,9.36
2023-11-09 14:55:17,235,2201,2436,9.65
2023-11-09 15:04:52,252,2184,2436,10.34
2023-11-09 15:14:21,257,2179,2436,10.55
2023-11-09 15:16:49,257,2179,2436,10.55
2023-11-09 15:18:53,257,2179,2436,10.55
2023-11-09 15:19:09,257,2179,2436,10.55
2023-11-09 15:19:18,257,2179,2436,10.55
2023-11-09 15:23:59,257,2179,2436,10.55
2023-11-09 15:25:56,257,2179,2436,10.55
2023-11-09 15:40:35,236,2200,2436,9.69
2023-11-09 15:50:09,232,2204,2436,9.52
2023-11-09 15:59:41,234,2202,2436,9.61
2023-11-09 16:09:09,256,2180,2436,10.51
2023-11-09 16:18:39,257,2179,2436,10.55
2023-11-09 16:28:09,238,2198,2436,9.77
2023-11-09 16:37:44,232,2204,2436,9.52
2023-11-09 16:47:16,236,2200,2436,9.69
2023-11-09 16:56:54,235,2201,2436,9.65
2023-11-09 17:06:28,231,2205,2436,9.48
2023-11-09 17:15:56,255,2181,2436,10.47
2023-11-09 17:25:28,236,2200,2436,9.69
2023-11-09 17:35:01,230,2206,2436,9.44
2023-11-09 17:44:35,230,2206,2436,9.44
2023-11-09 17:54:12,234,2202,2436,9.61
2023-11-09 18:03:45,234,2202,2436,9.61
2023-11-09 18:13:15,248,2188,2436,10.18
2023-11-09 18:22:47,245,2191,2436,10.06
2023-11-09 18:32:26,227,2209,2436,9.32
2023-11-09 18:41:59,229,2207,2436,9.4
2023-11-09 18:51:33,226,2210,2436,9.28
